Model,Type,Key_Hyperparameters,Notes
Linear Regression,Individual,fit_intercept=True (sklearn defaults),OLS baseline
Ridge,Individual,"alpha=1.0, max_iter=1000",L2 regularisation
Lasso,Individual,"alpha=0.01, max_iter=1000",L1 regularisation
Decision Tree,Individual,"criterion='squared_error', max_depth=None",Unpruned
Random Forest,Individual,"n_estimators=200, n_jobs=-1, random_state=42","Bagging, bootstrapped"
XGBoost,Individual,"n_estimators=200, lr=0.1, max_depth=6, subsample=0.8, colsample=0.8, reg_alpha=0.1, reg_lambda=1.0",L1+L2 regularised
Gradient Boosting,Individual,"n_estimators=200, lr=0.1, max_depth=4, subsample=0.8, min_samples_split=5",Sequential GBM
LR-LSTM (Stage 1),Hybrid,Same as Linear Regression,Trend extraction
LR-LSTM (Stage 2),Hybrid,LSTM(64)->Drop(0.2)->LSTM(32)->Drop(0.2)->Dense(1); Adam(lr=1e-3); MAE; epochs<=50; patience=5; batch=32; seq_len=10,Residual modelling
Simple Averaging,Ensemble,"Base: LR, XGB, GB; equal weights [1/3,1/3,1/3]",Averaging
Weighted Averaging,Ensemble,Weights proportional to 1/RMSE_val,Performance-weighted
Voting Regressor,Ensemble,"sklearn VotingRegressor; base: LR, XGB, GB",sklearn version
Stacking,Ensemble,"Base: LR, Ridge, Lasso, DT, RF, XGB, GB; cv=5 chronological; meta: Ridge(alpha=1.0)",OOF meta-features
XGBoost-LSTM,Hybrid,Stage 1: XGBoost; Stage 2: LSTM (same as LR-LSTM),Stronger first stage
Blending,Ensemble,"Holdout=20%; base: LR, Ridge, Lasso, DT, RF, XGB, GB; meta: Ridge(alpha=1.0)",Holdout-based
